model,group,classes,precision,recall,map50,map50_95
base_coco80.pt,base_old,"person, chair, dining table",0.6480281048791636,0.5382380791885342,0.6280725192168921,0.37777568533170636
incremental_no_replay_coco80.pt,no_replay_old,"person, chair, dining table",0.0866619793250228,0.816047956088401,0.29867544284566644,0.1398837153142711
incremental_no_replay_coco80.pt,no_replay_new,"laptop, book",0.6716053465952038,0.6557637217454051,0.6780866478030954,0.5224849682246161
nestdetect_final.pt,replay_old,"person, chair, dining table",0.6717341657893167,0.5879836936459788,0.6537743954693492,0.369141930459029
nestdetect_final.pt,replay_new,"laptop, book",0.7891144924376682,0.6180061572184419,0.732937686379204,0.5264638364194376
