strategy,model,old_map50_95,new_map50_95,forgetting
base,base_hope_coco80.pt,0.20369403677210138,,
no_replay,incremental_hope_no_replay_coco80.pt,0.06390023749878906,0.4348904037060778,0.1397937993
cms_v1,nestdetect_hope_cms_only.pt,0.05700469389247932,0.41003843926096667,0.1466893429
cms_v2,nestdetect_hope_cms_only_v2.pt,0.05711821013180337,0.4057544004534715,0.1465758266
cms_v3,nestdetect_hope_cms_only_v3.pt,0.2035042116641709,0.010053571428571429,0.0001898251
cms_v4,nestdetect_hope_cms_only_v4.pt,0.2037134194000484,0.4096689747352686,-0.0000193826
cms_v5,nestdetect_hope_cms_v5.pt,0.2035304109130628,0.40992810840564264,0.0001636259
replay,nestdetect_hope.pt,0.25720135481564166,0.4431272703887409,-0.053507318
